fecha_id,day,month,year,quarter,weekday
174,22,6,2024,2,Saturday
175,23,6,2024,2,Sunday
176,24,6,2024,2,Monday
177,25,6,2024,2,Tuesday
178,26,6,2024,2,Wednesday
179,27,6,2024,2,Thursday
180,28,6,2024,2,Friday
181,29,6,2024,2,Saturday
182,30,6,2024,2,Sunday
183,1,7,2024,3,Monday
184,2,7,2024,3,Tuesday
185,3,7,2024,3,Wednesday
186,4,7,2024,3,Thursday
187,5,7,2024,3,Friday
188,6,7,2024,3,Saturday
189,7,7,2024,3,Sunday
190,8,7,2024,3,Monday
191,9,7,2024,3,Tuesday
192,10,7,2024,3,Wednesday
193,11,7,2024,3,Thursday
194,12,7,2024,3,Friday
195,13,7,2024,3,Saturday
196,14,7,2024,3,Sunday
197,15,7,2024,3,Monday
198,16,7,2024,3,Tuesday
199,17,7,2024,3,Wednesday
200,18,7,2024,3,Thursday
201,19,7,2024,3,Friday
202,20,7,2024,3,Saturday
203,21,7,2024,3,Sunday
204,22,7,2024,3,Monday
205,23,7,2024,3,Tuesday
206,24,7,2024,3,Wednesday
207,25,7,2024,3,Thursday
208,26,7,2024,3,Friday
209,27,7,2024,3,Saturday
210,28,7,2024,3,Sunday
211,29,7,2024,3,Monday
212,30,7,2024,3,Tuesday
213,31,7,2024,3,Wednesday
214,1,8,2024,3,Thursday
215,2,8,2024,3,Friday
216,3,8,2024,3,Saturday
217,4,8,2024,3,Sunday
218,5,8,2024,3,Monday
219,6,8,2024,3,Tuesday
220,7,8,2024,3,Wednesday
221,8,8,2024,3,Thursday
222,9,8,2024,3,Friday
223,10,8,2024,3,Saturday
224,11,8,2024,3,Sunday
225,12,8,2024,3,Monday
226,13,8,2024,3,Tuesday
227,14,8,2024,3,Wednesday
228,15,8,2024,3,Thursday
229,16,8,2024,3,Friday
230,17,8,2024,3,Saturday
231,18,8,2024,3,Sunday
232,19,8,2024,3,Monday
233,20,8,2024,3,Tuesday
234,21,8,2024,3,Wednesday
235,22,8,2024,3,Thursday
236,23,8,2024,3,Friday
237,24,8,2024,3,Saturday
238,25,8,2024,3,Sunday
239,26,8,2024,3,Monday
240,27,8,2024,3,Tuesday
241,28,8,2024,3,Wednesday
242,29,8,2024,3,Thursday
243,30,8,2024,3,Friday
244,31,8,2024,3,Saturday
245,1,9,2024,3,Sunday
246,2,9,2024,3,Monday
247,3,9,2024,3,Tuesday
248,4,9,2024,3,Wednesday
249,5,9,2024,3,Thursday
250,6,9,2024,3,Friday
251,7,9,2024,3,Saturday
252,8,9,2024,3,Sunday
